key,kind,shape,scale
A1,adsb_category,cessna,1
A2,adsb_category,jet_swept,0.94
A3,adsb_category,airliner,0.96
A4,adsb_category,airliner,1
A5,adsb_category,heavy_2e,0.92
A6,adsb_category,hi_perf,0.94
A7,adsb_category,helicopter,1
B1,adsb_category,glider,1
B2,adsb_category,balloon,1
B4,adsb_category,cessna,0.92
B6,adsb_category,uav,1
C0,adsb_category,ground_unknown,1
C1,adsb_category,ground_emergency,1
C2,adsb_category,ground_service,1
C3,adsb_category,ground_tower,1
H,type_description,helicopter,1
G,type_description,gyrocopter,1
L1P,type_description,cessna,1
A1P,type_description,cessna,1
L1T,type_description,single_turbo,1
L1J,type_description,hi_perf,0.92
L2P,type_description,twin_small,1
A2P,type_description,twin_large,0.96
A2P-M,type_description,twin_large,1.12
L2T,type_description,twin_large,0.96
L2T-M,type_description,twin_large,1.12
A2T,type_description,twin_large,0.96
A2T-M,type_description,twin_large,1.06
L1J-L,type_description,jet_nonswept,1
L2J-L,type_description,jet_nonswept,1
L2J-M,type_description,airliner,1
L2J-H,type_description,heavy_2e,0.96
L3J-H,type_description,md11,1
L4T-M,type_description,c130,1
L4T-H,type_description,c130,1.07
L4T,type_description,c130,0.96
L4J-H,type_description,b707,1
L4J-M,type_description,b707,0.8
L4J,type_description,b707,0.8
